shape,z,posx,posy,scale,angle,thickness,energy,curveX,curveY,spread1,spread2,hue_bias,lightness_bias,texture
cloud,1,23.53,20.56,79.48,123.95,8.19,0.35,16.64,8.13,102.15,134.95,41.39,-0.166,1.714
stroke,2,87.71,53.82,163.06,100.08,11.22,0.737,-0.97,-39.34,219.93,131.62,-4.43,0.132,0.579
splatter,3,18.75,35.9,102.52,90.5,6.57,0.785,3.48,25.85,230.26,80.26,-8.02,0.113,1.496
splatter,4,98.21,60.06,122.57,336.01,12.33,0.713,-16.69,-34.11,144.09,125.97,110.87,-0.223,2.668
stroke,5,76.17,82.97,72.85,208.84,7.67,0.875,25.04,-3.61,102.8,52.34,-12.33,-0.255,1.047
stroke,6,0.0,23.65,148.03,301.81,7.92,0.35,33.21,21.21,121.67,75.72,85.57,0.093,1.448
splatter,7,28.68,28.09,148.36,232.57,6.83,0.35,-35.68,-58.02,121.9,25.0,26.51,-0.285,2.381
splatter,8,87.88,79.66,72.79,161.74,10.57,0.723,15.74,-24.75,116.71,25.0,78.32,0.098,1.247
spiral,9,81.14,66.08,113.22,243.7,8.1,0.828,15.86,-2.48,171.97,47.24,72.46,0.123,2.304
splatter,10,61.74,72.59,95.86,69.49,6.88,0.698,20.1,-14.42,119.93,82.99,-86.89,-0.061,1.211
splatter,11,89.32,71.11,131.21,354.92,10.4,0.498,-45.08,-4.3,179.54,92.35,79.91,0.228,0.99
stroke,12,82.83,61.65,67.67,174.89,8.58,0.538,-1.64,-42.85,129.8,130.24,11.75,-0.032,0.957
stroke,13,82.21,85.82,79.04,306.02,5.51,0.874,45.1,32.96,192.51,58.69,50.45,0.215,1.584
spiral,14,11.71,21.94,96.36,84.81,8.04,0.516,25.24,23.4,129.72,114.04,-12.57,-0.125,2.644
spiral,15,10.69,29.95,91.7,295.7,4.91,0.763,34.35,55.2,181.11,70.21,87.46,0.127,2.42
splatter,16,86.87,83.07,111.78,285.66,4.1,0.58,-6.43,-47.07,191.54,106.21,25.78,0.164,1.079
spiral,17,15.75,30.39,92.22,323.95,7.64,0.35,11.58,-41.72,115.65,49.58,92.52,0.196,0.855
splatter,18,9.09,37.22,56.06,202.28,11.3,0.89,18.19,-4.59,138.52,147.25,70.11,-0.042,1.672
stroke,19,79.95,67.06,45.78,185.09,10.66,0.784,-13.66,4.49,163.0,74.2,35.79,-0.14,1.878
